Song,Artist,Date,Streams,Url,Track_Id,Rank
Dance Monkey,Tones And I,2019-12-27,"50,183,626",https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,1rgnBhdG2JDFTbYkYRZAku,1
ROXANNE,Arizona Zervas,2019-12-27,"33,254,585",https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,696DnlkuDOXcMAnKlTgXXK,2
Tusa,"KAROL G, Nicki Minaj",2019-12-27,"29,349,573",https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,7k4t7uLgtOxPwTpFmtJNTY,3
Memories,Maroon 5,2019-12-27,"26,067,853",https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2b8fOow8UzyDFAE27YhOZM,4
Falling,Trevor Daniel,2019-12-27,"25,901,488",https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,4TnjEaWOeW0eKTKIEvJyCa,5
Circles,Post Malone,2019-12-27,"25,481,417",https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,21jGcNKet2qwijlDFuPiPb,6
Don't Start Now,Dua Lipa,2019-12-27,"25,355,075",https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,6WrI0LAC5M1Rw2MnX2ZvEg,7
Blinding Lights,The Weeknd,2019-12-27,"24,279,792",https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,0sf12qNH5qcw8qpgymFOqD,8
Señorita,"Shawn Mendes, Camila Cabello",2019-12-27,"22,341,642",https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,6v3KW9xbzN5yKLt9YKDYA2,9
everything i wanted,Billie Eilish,2019-12-27,"21,828,884",https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,3ZCTVFBt2Brf31RLEnCkWJ,10
RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",2019-12-27,"21,495,411",https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,6cy3ki60hLwimwIje7tALf,11
Someone You Loved,Lewis Capaldi,2019-12-27,"19,926,066",https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,7qEHsqek33rTcFNT9PFqLf,12
