Song,Artist,Date,Streams,Url,Rank
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2019-01-04,"32,548,077",https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,1
"thank u, next",Ariana Grande,2019-01-04,"29,904,412",https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2
Wow.,Post Malone,2019-01-04,"29,752,551",https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,3
Without Me,Halsey,2019-01-04,"24,867,431",https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,4
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,2019-01-04,"22,845,885",https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,5
Sweet but Psycho,Ava Max,2019-01-04,"21,942,752",https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,6
Calma - Remix,"Pedro Capó, Farruko",2019-01-04,"20,326,903",https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,7
MIA (feat. Drake),Bad Bunny,2019-01-04,"19,414,160",https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,8
Happier,"Marshmello, Bastille",2019-01-04,"18,637,219",https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,9
SICKO MODE,Travis Scott,2019-01-04,"18,588,911",https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,10
High Hopes,Panic! At The Disco,2019-01-04,"18,340,295",https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,11
Going Bad (feat. Drake),Meek Mill,2019-01-04,"17,137,403",https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,12
Adan y Eva,Paulo Londra,2019-01-04,"16,773,308",https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,13
ZEZE (feat. Travis Scott & Offset),Kodak Black,2019-01-04,"16,713,258",https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,14
Shallow,"Lady Gaga, Bradley Cooper",2019-01-04,"16,498,186",https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,15
